Entity,Code,Year,Transport,Forestry,Energy,Other sources,"Agriculture, Land Use & Forestry",Waste,Residential & commercial,Industry,total CO
Afghanistan,AFG,1990,607277,0,277412.2,0,0,0,918414.8,118810.1,1921914.1
Afghanistan,AFG,1991,531458.8,0,270127.8,0,0,0,690875.1,129749.1,1622210.8
Afghanistan,AFG,1992,376129.4,0,154580.4,0,0,0,373454.6,141625.6,1045790
Afghanistan,AFG,1993,323714.1,0,151712.6,0,0,0,325806.2,124728,925960.9
Afghanistan,AFG,1994,310399.8,0,146342.6,0,0,0,265081.3,147071.6,868895.3
Afghanistan,AFG,1995,310717.6,0,119581.6,0,0,0,275202.1,148731.7,854233
Afghanistan,AFG,1996,305052.7,0,111997.1,0,0,0,211782.1,148385.1,777217
Afghanistan,AFG,1997,304459.4,0,95476.5,0,0,0,235946.5,147517.8,783400.2
Afghanistan,AFG,1998,291362.9,0,91688.2,0,0,0,217061.3,145077.4,745189.8
Afghanistan,AFG,1999,280793.8,0,101863.6,0,0,0,245846.5,144272.4,772776.3
Afghanistan,AFG,2000,269170,0,96700,0,0,0,182000,147590,695460
Afghanistan,AFG,2001,260880,0,101100,0,0,0,93200,128380,583560
Afghanistan,AFG,2002,250000,0,87600,0,0,0,30100,134490,502190
Afghanistan,AFG,2003,199590,0,74200,0,0,0,22500,140310,436600
Afghanistan,AFG,2004,229590,0,82000,0,0,0,17000,144240,472830
Afghanistan,AFG,2005,234960,0,84000,0,0,0,54200,146960,520120
Afghanistan,AFG,2006,204150,0,74200,0,0,0,51200,142280,471830
Afghanistan,AFG,2007,196530,0,70200,0,0,0,94300,146100,507130
Afghanistan,AFG,2008,195140,0,70300,0,0,0,103000,148220,516660
Afghanistan,AFG,2009,182080,0,65700,0,0,0,120000,150840,518620
Afghanistan,AFG,2010,169140,0,61000,0,0,0,136000,157760,523900
Albania,ALB,1990,718568.4,-481445,2924790.9,0,121000,1244.1,2102810.1,531553.4,5918521.9
Albania,ALB,1991,541824.6,-482635.2,2008902.3,0,121000,1136.1,1330299.9,343632.3,3864160
Albania,ALB,1992,416852.4,-483831.3,1156076.9,0,121000,1132.4,579624.8,162280,1953135.2
Albania,ALB,1993,516002.2,-485033.3,1072319.4,0,121000,1197.2,394687.3,177360.8,1797533.6
Albania,ALB,1994,643735.5,-486241.4,1138957.5,0,121000,1263.9,335422,199257.5,1953395
Albania,ALB,1995,634726.8,-487455.4,891362.3,0,121000,1333.1,330249.1,196164.2,1687380.1
Albania,ALB,1996,630823.8,-488675.5,783001,0,121000,1408.6,463908.3,180410.9,1691877.1
Albania,ALB,1997,498070.7,-489901.8,561377.6,0,121000,1386.6,380715.1,148464.2,1221112.4
Albania,ALB,1998,750803.2,-491134.2,637974,0,121000,1485.9,300051.7,120896.3,1441076.9
